user_id,anime_id,rating,watching_status,watched_episodes
581,11061,10,2,148
581,13271,8,2,1
581,19951,8,2,1
581,138,9,2,8
581,139,9,2,14
581,12189,9,2,22
581,13469,8,2,1
581,9041,6,2,12
581,35639,9,2,12
581,37999,9,2,12
581,34933,0,2,12
581,37086,0,2,12
581,35860,10,2,12
581,39326,9,2,12
581,38000,10,2,26
581,6045,8,2,25
581,32281,10,2,1
581,36098,10,2,1
581,22535,9,2,24
581,9260,9,2,1
581,31757,9,2,1
581,31758,10,2,1
581,28851,0,2,1
581,11887,9,2,13
581,16001,10,2,4
581,38080,0,2,13
581,38889,10,2,13
581,30831,10,2,10
581,32937,10,2,10
581,8841,8,2,12
581,16782,7,2,1
581,28623,9,2,12
581,11771,8,2,25
581,16894,8,2,25
581,24415,9,2,25
581,31658,7,2,1
581,32949,9,2,12
581,17265,9,2,25
581,23321,9,2,25
581,34599,10,2,13
581,20785,8,2,26
581,33487,8,2,12
581,36936,9,2,1
581,32182,10,2,12
581,37510,10,2,13
581,17074,9,2,26
581,164,9,2,1
581,30307,7,2,12
581,16067,9,2,26
581,23755,9,2,24
581,15689,7,2,4
581,18897,9,2,20
581,27787,7,2,12
581,11597,8,2,11
581,19815,8,2,12
581,20507,8,2,12
581,30503,9,2,13
581,20767,8,2,2
581,11933,7,2,12
581,28819,6,2,12
581,32603,7,2,12
581,30276,9,2,12
581,34134,0,2,12
581,12355,10,2,1
581,23673,8,2,12
581,28297,10,2,24
581,38483,7,2,12
581,29803,8,2,13
581,26243,8,2,12
581,28927,7,2,12
581,27775,8,2,13
581,20159,9,2,4
581,30240,8,2,12
581,13601,9,2,22
581,23281,9,2,11
581,31240,10,2,25
581,30015,9,2,13
581,35466,10,2,4
581,28497,8,2,12
581,45,10,2,94
581,23277,8,2,12
581,30727,10,2,11
581,29317,7,2,1
581,13759,8,2,24
581,11499,9,2,12
581,37450,9,2,13
581,5507,9,2,26
581,154,8,2,64
581,23273,10,2,22
581,28069,7,2,1
581,29786,8,2,12
581,38659,8,2,12
581,16498,10,2,25
581,25777,7,2,12
581,35760,10,2,12
581,38524,10,2,10
581,28171,10,2,24
581,31327,9,2,2
581,32282,10,2,13
581,34480,8,2,2
581,35788,8,2,12
581,36949,10,2,12
581,39940,8,2,12
581,170,10,2,101
581,9253,10,2,24
581,30484,10,2,23
581,11577,9,2,1
581,11757,9,2,25
581,36475,9,2,12
581,21881,8,2,24
581,31765,8,2,1
581,12445,9,2,12
581,14189,9,2,1
581,35790,0,2,25
581,37430,9,2,24
581,22319,9,2,12
581,27899,8,2,12
581,36511,8,2,12
581,14227,10,2,13
581,4224,10,2,25
581,34902,10,2,12
581,35968,10,2,11
581,14813,10,2,13
581,23847,10,2,13
581,37779,9,2,12
581,28677,9,2,12
581,392,10,2,112
581,23283,9,2,11
581,35180,0,3,9
581,30205,0,3,8
581,6347,0,3,11
581,34572,0,3,100
581,269,0,3,116
581,4181,0,3,4
581,235,0,3,173
581,226,0,3,1
581,22043,0,3,25
581,10087,0,3,1
581,120,0,3,11
581,28907,0,3,4
581,918,0,3,69
581,21,0,3,808
581,35073,0,3,0
581,36474,0,3,22
581,22,9,3,140
581,37799,0,3,7
581,30383,0,4,2
581,31636,0,4,6
581,25183,0,4,5
581,37349,4,4,1
581,31442,0,4,4
581,34577,0,4,1
581,33836,0,4,4
581,31914,0,4,1
581,38573,0,4,5
581,36882,0,6,0
581,34437,0,6,0
581,32887,0,6,0
581,38883,0,6,0
581,7054,0,6,0
581,32268,0,6,6
581,36862,0,6,0
581,6116,0,6,0
581,24227,0,6,0
581,31918,0,6,0
581,31181,0,6,4
581,35247,0,6,0
581,35298,0,6,0
581,37521,0,6,0
581,37993,0,6,0
581,6956,0,6,0
581,18753,0,6,0
581,883,0,6,0
583,5525,0,1,0
583,6682,0,1,0
583,36793,0,1,0
583,32998,0,1,0
583,50,0,1,0
583,11759,0,1,0
583,2852,0,1,0
583,31790,0,1,0
583,1292,0,1,0
583,34881,0,1,0
583,366,0,1,0
583,101,0,1,0
583,857,0,1,0
583,102,0,1,0
583,30123,0,1,0
583,22199,0,1,0
583,25013,0,1,0
583,31588,0,1,0
583,22147,0,1,0
583,282,0,1,0
583,4358,0,1,0
583,11433,0,1,0
583,11111,0,1,0
583,9919,0,1,0
583,33506,0,1,0
583,7647,0,1,0
583,4999,0,1,0
583,104,0,1,0
583,21185,0,1,0
583,27663,0,1,0
583,34443,0,1,0
583,495,0,1,0
583,67,0,1,0
583,36516,0,1,0
583,9513,0,1,0
583,32379,0,1,0
583,13535,0,1,0
583,1498,0,1,0
583,68,0,1,0
583,34572,0,1,0
583,889,0,1,0
583,4151,0,1,0
583,3407,0,1,0
583,269,0,1,0
583,11633,0,1,0
583,150,0,1,0
583,2142,0,1,0
583,4197,0,1,0
583,31043,0,1,0
583,36456,0,1,0
583,1222,0,1,0
583,34566,0,1,0
583,11241,0,1,0
583,14345,0,1,0
583,1536,0,1,0
583,12293,0,1,0
583,232,0,1,0
583,33354,0,1,0
583,4981,0,1,0
583,28999,0,1,0
583,10800,0,1,0
583,1228,0,1,0
583,59,0,1,0
583,60,0,1,0
583,14741,0,1,0
583,2167,0,1,0
583,4181,0,1,0
583,1575,0,1,0
583,11703,0,1,0
583,1482,0,1,0
583,32370,0,1,0
583,61,0,1,0
583,12549,0,1,0
583,29976,0,1,0
583,16592,0,1,0
583,26349,0,1,0
583,2025,0,1,0
583,19163,0,1,0
583,6880,0,1,0
583,63,0,1,0
583,1535,0,1,0
583,235,0,1,0
583,35928,0,1,0
583,8687,0,1,0
583,31339,0,1,0
583,3230,0,1,0
583,28121,0,1,0
583,226,0,1,0
583,2372,0,1,0
583,15,0,1,0
583,6702,0,1,0
583,356,0,1,0
583,120,0,1,0
583,121,0,1,0
583,5114,0,1,0
583,126,0,1,0
583,382,0,1,0
583,74,0,1,0
583,30544,0,1,0
583,25183,0,1,0
583,239,0,1,0
583,384,0,1,0
583,23289,0,1,0
583,132,0,1,0
583,1571,0,1,0
583,1406,0,1,0
583,21431,0,1,0
583,17895,0,1,0
583,8425,0,1,0
583,287,0,1,0
583,245,0,1,0
583,17729,0,1,0
583,29095,0,1,0
583,267,0,1,0
583,13161,0,1,0
583,11785,0,1,0
583,15699,0,1,0
583,263,0,1,0
583,4551,0,1,0
583,7083,0,1,0
583,5835,0,1,0
583,15809,0,1,0
583,15225,0,1,0
583,2002,0,1,0
583,8630,0,1,0
583,11617,0,1,0
583,8074,0,1,0
583,12461,0,1,0
583,581,0,1,0
583,20431,0,1,0
583,31338,0,1,0
583,11061,0,1,0
583,31499,0,1,0
583,15377,0,1,0
583,12189,0,1,0
583,7088,0,1,0
583,248,0,1,0
583,637,0,1,0
583,257,0,1,0
583,25159,0,1,0
583,249,0,1,0
583,6811,0,1,0
583,9041,0,1,0
583,37210,0,1,0
583,25429,0,1,0
583,3731,0,1,0
583,29785,0,1,0
583,26055,0,1,0
583,37281,0,1,0
583,28387,0,1,0
583,2772,0,1,0
583,2130,0,1,0
583,7054,0,1,0
583,8525,0,1,0
583,25681,0,1,0
583,3503,0,1,0
583,1408,0,1,0
583,145,0,1,0
583,469,0,1,0
583,6594,0,1,0
583,1604,0,1,0
583,1691,0,1,0
583,845,0,1,0
583,18679,0,1,0
583,147,0,1,0
583,9170,0,1,0
583,9656,0,1,0
583,22535,0,1,0
583,7593,0,1,0
583,34984,0,1,0
583,32937,0,1,0
583,8841,0,1,0
583,10790,0,1,0
583,28623,0,1,0
583,24415,0,1,0
583,4898,0,1,0
583,5039,0,1,0
583,25283,0,1,0
583,32949,0,1,0
583,37458,0,1,0
583,8560,0,1,0
583,279,0,1,0
583,18153,0,1,0
583,189,0,1,0
583,2034,0,1,0
583,1164,0,1,0
583,20785,0,1,0
583,35062,0,1,0
583,1017,0,1,0
583,14833,0,1,0
583,33487,0,1,0
583,31845,0,1,0
583,335,0,1,0
583,10110,0,1,0
583,1161,0,1,0
583,738,0,1,0
583,36563,0,1,0
583,10620,0,1,0
583,30014,0,1,0
583,19,0,1,0
583,30307,0,1,0
583,31442,0,1,0
583,457,0,1,0
583,2926,0,1,0
583,877,0,1,0
583,23755,0,1,0
583,20,0,1,0
583,12467,0,1,0
583,31764,0,1,0
583,31404,0,1,0
583,31414,0,1,0
583,2446,0,1,0
583,1698,0,1,0
583,3467,0,1,0
583,20507,0,1,0
583,17157,0,1,0
583,7592,0,1,0
583,10049,0,1,0
583,11933,0,1,0
583,28819,0,1,0
583,32603,0,1,0
583,36198,0,1,0
583,5040,0,1,0
583,21,0,1,0
583,30276,0,1,0
583,195,0,1,0
583,196,0,1,0
583,23673,0,1,0
583,853,0,1,0
583,36027,0,1,0
583,26243,0,1,0
583,5530,0,1,0
583,322,0,1,0
583,36023,0,1,0
583,5682,0,1,0
583,30240,0,1,0
583,23309,0,1,0
583,6114,0,1,0
583,30296,0,1,0
583,31240,0,1,0
583,1601,0,1,0
583,238,0,1,0
583,32262,0,1,0
583,2369,0,1,0
583,1699,0,1,0
583,2993,0,1,0
583,45,0,1,0
